budget,popularity,revenue,title,vote_average,vote_count,release_year,studios_name,genres_name,return
30000000.0,21.95,373554033.0,Toy Story,7.7,5415.0,1995,['Pixar Animation Studios'],"['Animation', 'Comedy', 'Family']",12.4518011
65000000.0,17.02,262797249.0,Jumanji,6.9,2413.0,1995,"['TriStar Pictures', 'Teitler Film', 'Interscope Communications']","['Adventure', 'Fantasy', 'Family']",4.0430346
16000000.0,3.86,81452156.0,Waiting to Exhale,6.1,34.0,1995,['Twentieth Century Fox Film Corporation'],"['Comedy', 'Drama', 'Romance']",5.09075975
60000000.0,17.92,187436818.0,Heat,7.7,1886.0,1995,"['Regency Enterprises', 'Forward Pass', 'Warner Bros.']","['Action', 'Crime', 'Drama', 'Thriller']",3.123946966666667
35000000.0,5.23,64350171.0,Sudden Death,5.5,174.0,1995,"['Universal Pictures', 'Imperial Entertainment', 'Signature Entertainment']","['Action', 'Adventure', 'Thriller']",1.8385763142857143
58000000.0,14.69,352194034.0,GoldenEye,6.6,1194.0,1995,"['United Artists', 'Eon Productions']","['Adventure', 'Action', 'Thriller']",6.072310931034483
62000000.0,6.32,107879496.0,The American President,6.5,199.0,1995,"['Columbia Pictures', 'Castle Rock Entertainment']","['Comedy', 'Drama', 'Romance']",1.739991870967742
44000000.0,5.09,13681765.0,Nixon,7.1,72.0,1995,"['Hollywood Pictures', 'Cinergi Pictures Entertainment']","['History', 'Drama']",0.3109492045454545
98000000.0,7.28,10017322.0,Cutthroat Island,5.7,137.0,1995,"['Le Studio Canal+', 'Laurence Mark Productions', 'Metro-Goldwyn-Mayer (MGM)', 'Carolco Pictures']","['Action', 'Adventure']",0.1022175714285714
52000000.0,10.14,116112375.0,Casino,7.8,1343.0,1995,"['Universal Pictures', 'Légende Entreprises', 'Syalis DA', 'De Fina-Cappa']","['Drama', 'Crime']",2.2329302884615383
16500000.0,10.67,135000000.0,Sense and Sensibility,7.2,364.0,1995,"['Columbia Pictures Corporation', 'Mirage Enterprises']","['Drama', 'Romance']",8.181818181818182
4000000.0,9.03,4300000.0,Four Rooms,6.5,539.0,1995,"['Miramax Films', 'A Band Apart']","['Crime', 'Comedy']",1.075
30000000.0,8.21,212385533.0,Ace Ventura: When Nature Calls,6.1,1128.0,1995,"['O Entertainment', 'Warner Bros.', 'Morgan Creek Productions']","['Crime', 'Comedy', 'Adventure']",7.079517766666667
60000000.0,7.34,35431113.0,Money Train,5.4,224.0,1995,['Columbia Pictures'],"['Action', 'Comedy', 'Crime']",0.59051855
30250000.0,12.67,115101622.0,Get Shorty,6.4,305.0,1995,"['Jersey Films', 'Metro-Goldwyn-Mayer (MGM)']","['Comedy', 'Thriller', 'Crime']",3.805012297520661
50000000.0,11.07,30303072.0,Assassins,6.0,394.0,1995,"['Silver Pictures', 'Canal+', 'Warner Bros.', 'Dino De Laurentiis Company', 'Donner/Shuler-Donner Productions', 'Evansgideon/Lazar']","['Action', 'Adventure', 'Crime', 'Thriller']",0.60606144
3600000.0,10.33,49800000.0,Leaving Las Vegas,7.1,365.0,1995,"['United Artists', 'Intial Productions']","['Drama', 'Romance']",13.833333333333334
12000000.0,8.68,27400000.0,Now and Then,6.6,91.0,1995,['New Line Cinema'],"['Comedy', 'Drama', 'Family']",2.283333333333333
29500000.0,12.3,168840000.0,Twelve Monkeys,7.4,2470.0,1995,"['StudioCanal', 'Cinéa', 'Euston Films', 'Freeway Films', 'European Co-production Fund', 'Polygram Filmed Entertainment', 'Orsans Productions']","['History', 'Drama', 'Romance']",5.7233898305084745
30000000.0,14.4,254134910.0,Babe,6.0,756.0,1995,['Sony New Technologies'],"['Adventure', 'History', 'Drama', 'Family']",8.471163666666667
11000000.0,6.89,39363635.0,Dead Man Walking,7.3,350.0,1995,['Paramount Pictures'],"['Comedy', 'Drama', 'Romance']",3.5785122727272727
